glyph_name,ps_name,sort_final,sort_design,USV
acircumflex,acircumflex,107,164,00E2
adieresis,adieresis,108,166,00E4
atilde,atilde,109,165,00E3
aring,aring,110,167,00E5
ccedilla,ccedilla,111,169,00E7
eacute,eacute,112,171,00E9
egrave,egrave,113,170,00E8
ecircumflex,ecircumflex,114,172,00EA
edieresis,edieresis,115,173,00EB
iacute,iacute,116,175,00ED
igrave,igrave,117,174,00EC
icircumflex,icircumflex,118,176,00EE
idieresis,idieresis,119,177,00EF
ntilde,ntilde,120,179,00F1
oacute,oacute,121,181,00F3
ograve,ograve,122,180,00F2
ocircumflex,ocircumflex,123,182,00F4
odieresis,odieresis,124,184,00F6
otilde,otilde,125,183,00F5
uacute,uacute,126,188,00FA
ugrave,ugrave,127,187,00F9
ucircumflex,ucircumflex,128,189,00FB
udieresis,udieresis,129,190,00FC
dagger,dagger,130,331,2020
degree,degree,131,114,00B0
cent,cent,132,100,00A2
sterling,sterling,133,101,00A3
section,section,134,105,00A7
bullet,bullet,135,333,2022
paragraph,paragraph,136,120,00B6
germandbls,germandbls,137,161,00DF
registered,registered,138,112,00AE
copyright,copyright,139,107,00A9
trademark,trademark,140,346,2122
acute,acute,141,118,00B4
dieresis,dieresis,142,106,00A8
notequal,notequal,143,359,2260
AE,AE,144,136,00C6
Oslash,Oslash,145,154,00D8
infinity,infinity,146,356,221E
plusminus,plusminus,147,115,00B1
lessequal,lessequal,148,360,2264
greaterequal,greaterequal,149,361,2265
yen,yen,150,103,00A5
micro,mu,151,119,00B5
partialdiff,partialdiff,152,348,2202
summation,summation,153,351,2211
product,product,154,350,220F
pi,pi,155,221,03C0
integral,integral,156,357,222B
ordfeminine,ordfeminine,157,108,00AA
ordmasculine,ordmasculine,158,124,00BA
Ohm,Omega,159,347,2126
ae,ae,160,168,00E6
oslash,oslash,161,186,00F8
questiondown,questiondown,162,129,00BF
exclamdown,exclamdown,163,99,00A1
logicalnot,logicalnot,164,110,00AC
radical,radical,165,355,221A
florin,florin,166,202,0192
approxequal,approxequal,167,358,2248
increment,Delta,168,349,2206
guillemetleft,guillemotleft,169,109,00AB
guillemetright,guillemotright,170,125,00BB
ellipsis,ellipsis,171,334,2026
nbspace,uni00A0,172,98,00A0
Agrave,Agrave,173,130,00C0
Atilde,Atilde,174,133,00C3
Otilde,Otilde,175,151,00D5
OE,OE,176,195,0152
oe,oe,177,196,0153
endash,endash,178,322,2013
emdash,emdash,179,323,2014
quotedblleft,quotedblleft,180,328,201C
quotedblright,quotedblright,181,329,201D
quoteleft,quoteleft,182,325,2018
quoteright,quoteright,183,326,2019
divide,divide,184,185,00F7
lozenge,lozenge,185,363,25CA
ydieresis,ydieresis,186,193,00FF
Ydieresis,Ydieresis,187,199,0178
fraction,fraction,188,342,2044
currency,currency,189,102,00A4
guilsinglleft,guilsinglleft,190,340,2039
guilsinglright,guilsinglright,191,341,203A
fi,uniFB01,192,374,FB01
fl,uniFB02,193,375,FB02
daggerdbl,daggerdbl,194,332,2021
periodcentered,periodcentered,195,121,00B7
quotesinglbase,quotesinglbase,196,327,201A
quotedblbase,quotedblbase,197,330,201E
perthousand,perthousand,198,339,2030
Acircumflex,Acircumflex,199,132,00C2
Ecircumflex,Ecircumflex,200,140,00CA
Aacute,Aacute,201,131,00C1
Edieresis,Edieresis,202,141,00CB
Egrave,Egrave,203,138,00C8
Iacute,Iacute,204,143,00CD
Icircumflex,Icircumflex,205,144,00CE
Idieresis,Idieresis,206,145,00CF
Igrave,Igrave,207,142,00CC
Oacute,Oacute,208,149,00D3
Ocircumflex,Ocircumflex,209,150,00D4
dottedCircle,uni25CC,210,364,25CC
Ograve,Ograve,211,148,00D2
Uacute,Uacute,212,156,00DA
Ucircumflex,Ucircumflex,213,157,00DB
Ugrave,Ugrave,214,155,00D9
idotless,dotlessi,215,194,0131
circumflex,circumflex,216,203,02C6
tilde,tilde,217,209,02DC
macron,macron,218,113,00AF
breve,breve,219,205,02D8
dotaccent,dotaccent,220,206,02D9
ring,ring,221,207,02DA
cedilla,cedilla,222,122,00B8
hungarumlaut,hungarumlaut,223,210,02DD
ogonek,ogonek,224,208,02DB
caron,caron,225,204,02C7
brokenbar,brokenbar,226,104,00A6
softhyphen,uni00AD,227,111,00AD
twosuperior,uni00B2,228,116,00B2
threesuperior,uni00B3,229,117,00B3
onesuperior,uni00B9,230,123,00B9
onequarter,onequarter,231,126,00BC
onehalf,onehalf,232,127,00BD
threequarters,threequarters,233,128,00BE
Eth,Eth,234,146,00D0
multiply,multiply,235,153,00D7
Yacute,Yacute,236,159,00DD
Thorn,Thorn,237,160,00DE
eth,eth,238,178,00F0
yacute,yacute,239,191,00FD
thorn,thorn,240,192,00FE
Scaron,Scaron,241,197,0160
scaron,scaron,242,198,0161
Zcaron,Zcaron,243,200,017D
zcaron,zcaron,244,201,017E
gravecomb,gravecomb,245,211,0300
acutecomb,acutecomb,246,212,0301
circumflexcomb,uni0302,247,213,0302
tildecomb,tildecomb,248,214,0303
dieresiscomb,uni0308,249,215,0308
ringcomb,uni030A,250,216,030A
caroncomb,uni030C,251,217,030C
cedillacomb,uni0327,252,218,0327
graphemejoinercomb,uni034F,253,219,034F
Omega,uni03A9,254,220,03A9
uni1980,uni1980,255,222,1980
uni1981,uni1981,256,223,1981
uni1982,uni1982,257,224,1982
uni1983,uni1983,258,225,1983
uni1984,uni1984,259,226,1984
uni1985,uni1985,260,227,1985
uni1986,uni1986,261,228,1986
uni1987,uni1987,262,229,1987
uni1988,uni1988,263,230,1988
uni1989,uni1989,264,231,1989
uni198A,uni198A,265,232,198A
uni198B,uni198B,266,233,198B
uni198C,uni198C,267,234,198C
uni198D,uni198D,268,235,198D
uni198E,uni198E,269,236,198E
uni198F,uni198F,270,237,198F
uni1990,uni1990,271,238,1990
uni1991,uni1991,272,239,1991
uni1992,uni1992,273,240,1992
uni1993,uni1993,274,241,1993
uni1994,uni1994,275,242,1994
uni1995,uni1995,276,243,1995
uni1996,uni1996,277,244,1996
uni1997,uni1997,278,245,1997
uni1998,uni1998,279,246,1998
uni1999,uni1999,280,247,1999
uni199A,uni199A,281,248,199A
uni199B,uni199B,282,249,199B
uni199C,uni199C,283,250,199C
uni199D,uni199D,284,251,199D
uni199E,uni199E,285,252,199E
uni199F,uni199F,286,253,199F
uni19A0,uni19A0,287,254,19A0
uni19A1,uni19A1,288,255,19A1
uni19A2,uni19A2,289,256,19A2
uni19A3,uni19A3,290,257,19A3
uni19A4,uni19A4,291,258,19A4
uni19A5,uni19A5,292,259,19A5
uni19A6,uni19A6,293,260,19A6
uni19A7,uni19A7,294,261,19A7
uni19A8,uni19A8,295,262,19A8
uni19A9,uni19A9,296,263,19A9
uni19AA,uni19AA,297,264,19AA
uni19AB,uni19AB,298,265,19AB
uni19B0,uni19B0,299,266,19B0
uni19B1,uni19B1,300,267,19B1
uni19B2,uni19B2,301,268,19B2
uni19B3,uni19B3,302,269,19B3
uni19B4,uni19B4,303,270,19B4
uni19B5,uni19B5,304,271,19B5
uni19B6,uni19B6,305,272,19B6
uni19B7,uni19B7,306,273,19B7
uni19B8,uni19B8,307,274,19B8
uni19B9,uni19B9,308,275,19B9
uni19BA,uni19BA,309,276,19BA
uni19BB,uni19BB,310,277,19BB
uni19BC,uni19BC,311,278,19BC
uni19BD,uni19BD,312,279,19BD
uni19BE,uni19BE,313,280,19BE
uni19BF,uni19BF,314,281,19BF
uni19C0,uni19C0,315,282,19C0
uni19C1,uni19C1,316,283,19C1
uni19C2,uni19C2,317,284,19C2
uni19C3,uni19C3,318,285,19C3
uni19C4,uni19C4,319,286,19C4
uni19C5,uni19C5,320,287,19C5
uni19C6,uni19C6,321,288,19C6
uni19C7,uni19C7,322,289,19C7
uni19C8,uni19C8,323,290,19C8
uni19C9,uni19C9,324,291,19C9
uni19D0,uni19D0,325,292,19D0
uni19D1,uni19D1,326,293,19D1
uni19D2,uni19D2,327,294,19D2
uni19D3,uni19D3,328,295,19D3
uni19D4,uni19D4,329,296,19D4
uni19D5,uni19D5,330,297,19D5
uni19D6,uni19D6,331,298,19D6
uni19D7,uni19D7,332,299,19D7
uni19D8,uni19D8,333,300,19D8
uni19D9,uni19D9,334,301,19D9
uni19DA,uni19DA,335,302,19DA
uni19DE,uni19DE,336,303,19DE
uni19DF,uni19DF,337,304,19DF
enquad,uni2000,338,305,2000
emquad,uni2001,339,306,2001
enspace,uni2002,340,307,2002
emspace,uni2003,341,308,2003
threeperemspace,uni2004,342,309,2004
fourperemspace,uni2005,343,310,2005
sixperemspace,uni2006,344,311,2006
figurespace,uni2007,345,312,2007
punctuationspace,uni2008,346,313,2008
thinspace,uni2009,347,314,2009
hairspace,uni200A,348,315,200A
zerowidthspace,uni200B,349,316,200B
zerowidthnonjoiner,uni200C,350,317,200C
zerowidthjoiner,uni200D,351,318,200D
hyphentwo,uni2010,352,319,2010
nonbreakinghyphen,uni2011,353,320,2011
figuredash,figuredash,354,321,2012
horizontalbar,uni2015,355,324,2015
hyphenationpoint,uni2027,356,335,2027
lineseparator,uni2028,357,336,2028
paragraphseparator,uni2029,358,337,2029
narrownbspace,uni202F,359,338,202F
wordjoiner,uni2060,360,343,2060
foursuperior,uni2074,361,344,2074
euro,Euro,362,345,20AC
minus,minus,363,352,2212
divisionslash,uni2215,364,353,2215
bulletoperator,uni2219,365,354,2219
blank,uni2423,366,362,2423
space-han,uni3000,367,365,3000
comma-han,uni3001,368,366,3001
period-han,uni3002,369,367,3002
anglebracketleft,uni3008,370,368,3008
anglebracketright,uni3009,371,369,3009
dblanglebracketleft,uni300A,372,370,300A
dblanglebracketright,uni300B,373,371,300B
sidebearingleft,uniF130,374,372,F130
sidebearingright,uniF131,375,373,F131
VS1,uniFE00,376,376,FE00
VS2,uniFE01,377,377,FE01
VS3,uniFE02,378,378,FE02
VS4,uniFE03,379,379,FE03
VS5,uniFE04,380,380,FE04
VS6,uniFE05,381,381,FE05
VS7,uniFE06,382,382,FE06
VS8,uniFE07,383,383,FE07
VS9,uniFE08,384,384,FE08
VS10,uniFE09,385,385,FE09
VS11,uniFE0A,386,386,FE0A
VS12,uniFE0B,387,387,FE0B
VS13,uniFE0C,388,388,FE0C
VS14,uniFE0D,389,389,FE0D
VS15,uniFE0E,390,390,FE0E
VS16,uniFE0F,391,391,FE0F
zeroWidthNoBreakSpace,uniFEFF,392,392,FEFF
exclam.full,uniFF01,393,393,FF01
parenleft.full,uniFF08,394,394,FF08
parenright.full,uniFF09,395,395,FF09
comma.full,uniFF0C,396,396,FF0C
period.full,uniFF0E,397,397,FF0E
colon.full,uniFF1A,398,398,FF1A
semicolon.full,uniFF1B,399,399,FF1B
question.full,uniFF1F,400,400,FF1F
objectReplacementCharacter,uniFFFC,401,401,FFFC
replacementCharacter,uniFFFD,402,402,FFFD
dailuemodifierfinal,dailuemodifierfinal,403,403,
dailuemodifierw,dailuemodifierw,404,404,
